epoch,train_loss,train_loss_hm,train_loss_wh,train_loss_off,val_loss,val_loss_hm,val_loss_wh,val_loss_off,map,map50,map75,micro_p,micro_r,micro_f1,macro_p,macro_r,macro_f1,ar1,ar10,ar100,ap_c0,ap_c1,ap_c2,ap_c3,ap_c4,ap_c5,ap_c6,ap_c7,ap_c8,ap_c9,ap_c10,ap_c11,ap_c12,ap_c13,ap_c14,ap_c15,ap_c16,ap_c17,ap_c18,ap_c19,ap_c20,ap_c21,lr,epoch_time_sec
1,14.638293,27.609008,1.725390,0.288332,0.963424,2.171250,1.491787,0.190222,0.003880,0.001567,0.000002,0.063205,0.009926,0.017157,0.003079,0.008830,0.004566,0.000736,0.009881,0.009881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032533,1.000000e-04,1300.838
2,0.851105,1.393930,1.560601,0.194226,0.503617,0.996856,1.431545,0.174953,0.022171,0.008940,0.000044,0.037926,0.038970,0.038441,0.005461,0.028843,0.009184,0.004373,0.035326,0.035402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072319,0.000000,0.111183,9.972609e-05,1079.407
3,0.563611,0.907221,1.414690,0.180631,0.412172,0.779878,1.246200,0.164308,0.037777,0.043220,0.001890,0.190796,0.070995,0.103484,0.025821,0.054892,0.035121,0.007162,0.046903,0.047056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232936,0.000000,0.671812,9.890738e-05,1068.281
4,0.483611,0.787060,0.895957,0.175074,0.337315,0.673662,0.486465,0.160240,0.088109,0.065870,0.002588,0.008441,0.141239,0.015930,0.010539,0.116080,0.019323,0.031030,0.165181,0.176455,0.000000,0.000044,0.000000,0.000000,0.000000,0.024620,0.000265,0.000000,0.001276,0.000858,0.071622,0.005581,0.001761,0.000284,0.000000,0.010793,0.001198,0.186964,0.003082,0.258940,0.000000,0.706363,9.755283e-05,1063.885
5,0.439412,0.684798,0.337283,0.168038,0.297890,0.617326,0.197991,0.150920,0.203427,0.185194,0.011632,0.021040,0.339323,0.039623,0.031622,0.277657,0.056777,0.076105,0.362742,0.371324,0.000000,0.296170,0.004624,0.003444,0.004674,0.015323,0.001149,0.011247,0.010687,0.001500,0.052801,0.007333,0.006971,0.000363,0.214974,0.377466,0.214260,0.436698,0.122892,0.817957,0.144391,0.817084,9.567727e-05,983.394
6,0.352042,0.613510,0.225683,0.156944,0.334029,0.586632,0.179007,0.150512,0.226018,0.210173,0.007985,0.023734,0.402570,0.044825,0.040048,0.334174,0.071525,0.080109,0.391198,0.399499,0.000000,0.226206,0.025048,0.008198,0.026250,0.049502,0.001364,0.053445,0.009856,0.017661,0.135350,0.045460,0.013372,0.003478,0.246654,0.440477,0.330767,0.719901,0.143445,0.592824,0.290228,0.693016,9.330127e-05,1084.018
7,0.374558,0.591444,0.203537,0.155063,0.332982,0.558244,0.162073,0.149203,0.269119,0.271531,0.010543,0.028510,0.445119,0.053588,0.048791,0.383473,0.086568,0.099429,0.440904,0.449903,0.000000,0.336325,0.025333,0.073878,0.078095,0.038878,0.007425,0.047198,0.024491,0.029973,0.117964,0.053711,0.063907,0.007550,0.346229,0.438476,0.283108,0.617824,0.309752,0.666822,0.655655,0.856380,9.045085e-05,1014.189
8,0.368244,0.567172,0.180957,0.149186,0.279701,0.542738,0.166378,0.147731,0.249685,0.241854,0.013302,0.023789,0.400731,0.044912,0.036327,0.345628,0.065745,0.086375,0.414355,0.421272,0.000000,0.388622,0.058401,0.054413,0.004313,0.057397,0.004927,0.014744,0.005776,0.019182,0.117676,0.002836,0.023384,0.001909,0.510122,0.422273,0.376751,0.340758,0.361041,0.706947,0.362475,0.845539,8.715724e-05,1058.399
9,0.359454,0.545437,0.167786,0.146294,0.285977,0.521435,0.152341,0.145661,0.296469,0.310086,0.020609,0.029853,0.473311,0.056164,0.046352,0.390732,0.082872,0.102286,0.456910,0.463611,0.000000,0.449461,0.141716,0.006549,0.095361,0.058692,0.015089,0.083364,0.015328,0.029460,0.272407,0.120112,0.041193,0.019682,0.239537,0.414350,0.379129,0.738727,0.189067,0.886953,0.662428,0.833263,8.345653e-05,1098.632
10,0.350829,0.531943,0.158914,0.143635,0.261835,0.508964,0.133394,0.142175,0.317927,0.333008,0.024853,0.032823,0.498353,0.061590,0.051894,0.424682,0.092487,0.102468,0.478868,0.485031,0.000000,0.451009,0.062283,0.089389,0.120257,0.089810,0.054866,0.022363,0.062222,0.028647,0.272041,0.044406,0.057047,0.028199,0.452402,0.541647,0.397042,0.717866,0.408705,0.859780,0.644028,0.847686,7.938926e-05,989.390
11,0.324330,0.515949,0.153225,0.141507,0.366492,0.539596,0.139721,0.143017,0.307766,0.312168,0.023101,0.028951,0.491674,0.054682,0.045330,0.413945,0.081713,0.102330,0.471599,0.479513,0.000000,0.669757,0.081417,0.106074,0.066224,0.075933,0.066453,0.010094,0.053909,0.015781,0.214541,0.062310,0.053526,0.028493,0.416588,0.432471,0.289013,0.622456,0.443314,0.788854,0.615611,0.804926,7.500000e-05,26960.915
12,0.334380,0.507773,0.147442,0.137518,0.322039,0.507366,0.140928,0.141949,0.309785,0.309887,0.023160,0.030975,0.475060,0.058157,0.059148,0.413331,0.103486,0.102828,0.468360,0.472569,0.000000,0.515603,0.086879,0.104348,0.086276,0.136381,0.071301,0.026904,0.031872,0.013934,0.234397,0.073006,0.034547,0.032524,0.284085,0.615785,0.390586,0.764469,0.326457,0.671313,0.698438,0.701589,7.033683e-05,1298.649
13,0.297122,0.494412,0.141349,0.134616,0.349126,0.511042,0.133266,0.141538,0.305364,0.294213,0.022740,0.030777,0.472567,0.057791,0.051374,0.400231,0.091059,0.094653,0.454586,0.462040,0.000000,0.632614,0.128289,0.048628,0.025118,0.149549,0.083908,0.024589,0.027912,0.019316,0.239045,0.079784,0.028435,0.031331,0.363674,0.473338,0.249788,0.668852,0.100500,0.768408,0.652903,0.846732,6.545085e-05,1052.126
14,0.295925,0.485054,0.133980,0.131907,0.328891,0.505619,0.131845,0.140991,0.332736,0.345584,0.020388,0.038878,0.522002,0.072366,0.064120,0.452063,0.112309,0.102470,0.486978,0.494662,0.000000,0.665566,0.068216,0.043657,0.186692,0.127024,0.154704,0.074319,0.029406,0.051191,0.316102,0.083991,0.058766,0.048229,0.485900,0.447789,0.318753,0.711028,0.323516,0.816286,0.696883,0.790665,6.039558e-05,1388.383
15,0.275310,0.474517,0.128790,0.128674,0.339339,0.502060,0.130131,0.138747,0.327378,0.353107,0.026118,0.037195,0.499601,0.069235,0.057200,0.435590,0.101121,0.105742,0.474790,0.480592,0.000000,0.691832,0.139652,0.106025,0.101300,0.093698,0.133859,0.014636,0.032974,0.026685,0.175283,0.070900,0.035081,0.019739,0.514922,0.637395,0.335653,0.793254,0.270249,0.841017,0.699122,0.887893,5.522642e-05,1068.108
16,0.239225,0.461451,0.124901,0.124045,0.286878,0.485378,0.129566,0.136716,0.315591,0.303742,0.020688,0.036975,0.480514,0.068667,0.057006,0.415381,0.100253,0.098885,0.461587,0.466661,0.000000,0.413101,0.122527,0.030184,0.103017,0.154022,0.157419,0.078746,0.038260,0.017687,0.223052,0.072563,0.092952,0.040510,0.295745,0.540813,0.335021,0.505202,0.241396,0.837894,0.606061,0.841210,5.000000e-05,1097.369
