edge_lambda_low,edge_lambda_high,edge_threshold,edge_max_coverage,edge_use_log,edge_method,texture_lambda_low,texture_lambda_high,texture_threshold,texture_max_coverage,texture_use_log,texture_method,corner_eta_ratio,corner_mask_threshold,corner_min_coverage,sample_count,edge_threshold_used_mean,edge_threshold_used_std,edge_threshold_used_min,edge_threshold_used_max,edge_contrast_mean,edge_contrast_std,edge_snr_mean,edge_snr_std,edge_activation_total_mean,edge_activation_total_std,edge_activation_inside_mean,edge_activation_inside_std,edge_activation_outside_mean,edge_activation_outside_std,texture_threshold_used_mean,texture_threshold_used_std,texture_threshold_used_min,texture_threshold_used_max,texture_contrast_mean,texture_contrast_std,texture_snr_mean,texture_snr_std,texture_activation_total_mean,texture_activation_total_std,texture_activation_inside_mean,texture_activation_inside_std,texture_activation_outside_mean,texture_activation_outside_std,corner_resp_contrast_mean,corner_resp_contrast_std,corner_resp_snr_mean,corner_resp_snr_std,corner_clean_contrast_mean,corner_clean_contrast_std,corner_clean_snr_mean,corner_clean_snr_std,corner_clean_activation_total_mean,corner_clean_activation_total_std,corner_clean_activation_inside_mean,corner_clean_activation_inside_std,corner_clean_activation_outside_mean,corner_clean_activation_outside_std,corner_raw_activation_total_mean,corner_raw_activation_total_std,corner_raw_activation_inside_mean,corner_raw_activation_inside_std,corner_raw_activation_outside_mean,corner_raw_activation_outside_std,bbox_ratio_mean,bbox_ratio_std
0.15,0.35,0.4,0.05,0,sobel,0.0,1.0,0.5,0.1,0,none,0.01,0.4,0.01,1,0.4000000059604645,0.0,0.4000000059604645,0.4000000059604645,0.003656507469713688,0.0,0.04967506229877472,0.0,0.013996124267578125,0.0,0.01198402140289545,0.0,0.014007719233632088,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045224376022815704,0.0,1.3090018033981323,0.0,0.8169497847557068,0.0,2.4635326862335205,0.0,0.13047409057617188,0.0,0.9427430033683777,0.0,0.1257932335138321,0.0,0.08967971801757812,0.0,0.7137150168418884,0.0,0.08608359098434448,0.0,0.00572967529296875,0.0
0.15,0.35,0.4,0.05,0,sobel,0.0,1.0,0.5,0.1,0,none,0.01,0.4,0.02,1,0.4000000059604645,0.0,0.4000000059604645,0.4000000059604645,0.003656507469713688,0.0,0.04967506229877472,0.0,0.013996124267578125,0.0,0.01198402140289545,0.0,0.014007719233632088,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045224376022815704,0.0,1.3090018033981323,0.0,0.8169497847557068,0.0,2.4635326862335205,0.0,0.13047409057617188,0.0,0.9427430033683777,0.0,0.1257932335138321,0.0,0.08967971801757812,0.0,0.7137150168418884,0.0,0.08608359098434448,0.0,0.00572967529296875,0.0
