epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.103421,0.299548,1.112407,0.642045,3.000000e-05,3.000000e-03
2,1.290050,0.518069,0.842158,0.685227,2.995376e-05,2.995376e-03
3,1.064222,0.604178,0.779642,0.669318,2.981533e-05,2.981533e-03
4,0.950163,0.635234,0.875146,0.672727,2.958555e-05,2.958555e-03
5,0.871107,0.673348,1.092781,0.637500,2.926585e-05,2.926585e-03
6,0.695761,0.736025,0.544795,0.834091,2.885819e-05,2.885819e-03
7,0.405011,0.854320,0.190779,0.926136,2.836510e-05,2.836510e-03
8,0.292063,0.893281,0.149532,0.946591,2.778960e-05,2.778960e-03
9,0.297947,0.900056,0.076431,0.972727,2.713525e-05,2.713525e-03
10,0.220579,0.922925,0.071556,0.967045,2.640609e-05,2.640609e-03
11,0.183830,0.934783,0.050051,0.984091,2.560660e-05,2.560660e-03
12,0.181761,0.939864,0.097817,0.977273,2.474172e-05,2.474172e-03
13,0.152979,0.951440,0.111737,0.963636,2.381678e-05,2.381678e-03
14,0.134547,0.957086,0.103811,0.969318,2.283748e-05,2.283748e-03
15,0.123330,0.959627,0.031820,0.984091,2.180986e-05,2.180986e-03
16,nan,0.285714,,0.045455,2.074025e-05,2.074025e-03
17,nan,0.045455,,0.045455,1.963525e-05,1.963525e-03
18,nan,0.045455,,0.045455,1.850168e-05,1.850168e-03
19,nan,0.045455,,0.045455,1.734652e-05,1.734652e-03
20,nan,0.045455,,0.045455,1.617689e-05,1.617689e-03
21,nan,0.045455,,0.045455,1.500000e-05,1.500000e-03
22,nan,0.045455,,0.045455,1.382311e-05,1.382311e-03
23,nan,0.045455,,0.045455,1.265348e-05,1.265348e-03
24,nan,0.045455,,0.045455,1.149832e-05,1.149832e-03
25,nan,0.045455,,0.045455,1.036475e-05,1.036475e-03
26,nan,0.045455,,0.045455,9.259749e-06,9.259749e-04
27,nan,0.045455,,0.045455,8.190143e-06,8.190143e-04
28,nan,0.045455,,0.045455,7.162522e-06,7.162522e-04
29,nan,0.045455,,0.045455,6.183221e-06,6.183221e-04
30,nan,0.045455,,0.045455,5.258279e-06,5.258279e-04
31,nan,0.045455,,0.045455,4.393398e-06,4.393398e-04
32,nan,0.045455,,0.045455,3.593911e-06,3.593911e-04
33,nan,0.045455,,0.045455,2.864745e-06,2.864745e-04
34,nan,0.045455,,0.045455,2.210398e-06,2.210398e-04
35,nan,0.045455,,0.045455,1.634902e-06,1.634902e-04
36,nan,0.045455,,0.045455,1.141807e-06,1.141807e-04
37,nan,0.045455,,0.045455,7.341523e-07,7.341523e-05
38,nan,0.045455,,0.045455,4.144512e-07,4.144512e-05
39,nan,0.045455,,0.045455,1.846749e-07,1.846749e-05
40,nan,0.045455,,0.045455,4.623999e-08,4.623999e-06
