epoch,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN
87,1.15962e-05,0.080938,58.052434,96.153846,72.396077,1550,1120,62
88,1.02181e-05,0.081184,58.550396,96.215881,72.799812,1551,1098,61
89,8.92246e-06,0.081370,58.812405,96.464020,73.073308,1555,1089,57
90,7.7105e-06,0.083128,58.093458,96.401985,72.498251,1554,1121,58
91,6.58345e-06,0.079426,58.819076,96.401985,73.060649,1554,1088,58
92,5.54243e-06,0.077200,59.153318,96.215881,73.264053,1551,1071,61
93,4.58845e-06,0.080993,58.944170,96.277916,73.121319,1552,1081,60
94,3.72247e-06,0.081136,58.556857,96.153846,72.787039,1550,1097,62
95,2.94533e-06,0.082900,58.499812,96.277916,72.778429,1552,1101,60
96,2.2578e-06,0.079477,58.774584,96.401985,73.026316,1554,1090,58
97,1.66057e-06,0.078823,58.859316,96.029777,72.984441,1548,1082,64
98,1.15422e-06,0.079094,59.004559,96.339950,73.185674,1553,1079,59
99,7.39247e-07,0.080317,59.154930,96.401985,73.319179,1554,1073,58
100,4.16066e-07,0.079552,58.667676,96.153846,72.872591,1550,1092,62
