epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,3.200016,0.048260,3.100598,0.086364,3.000000e-05,3.000000e-03
2,3.016264,0.071829,2.848879,0.106818,2.995376e-05,2.995376e-03
3,2.839142,0.094276,2.764006,0.118182,2.981533e-05,2.981533e-03
4,2.776107,0.107744,2.619589,0.154545,2.958555e-05,2.958555e-03
5,2.731789,0.113917,2.689007,0.138636,2.926585e-05,2.926585e-03
6,3.281399,0.048260,3.191517,0.045455,2.885819e-05,2.885819e-03
7,3.114531,0.043210,2.880260,0.081818,2.836510e-05,2.836510e-03
