epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,1.990164,0.367232,0.734873,0.694318,3.000000e-05,3.000000e-03
2,1.061614,0.632203,0.604663,0.796591,2.991783e-05,2.991783e-03
3,0.914197,0.671469,0.397235,0.847727,2.967221e-05,2.967221e-03
4,0.808461,0.703390,0.558282,0.776136,2.926585e-05,2.926585e-03
5,0.717303,0.743503,0.470662,0.814773,2.870318e-05,2.870318e-03
6,0.508133,0.820056,0.240045,0.915909,2.799038e-05,2.799038e-03
7,0.249400,0.908757,0.728935,0.864773,2.713525e-05,2.713525e-03
8,0.254089,0.909605,0.162988,0.937500,2.614717e-05,2.614717e-03
9,0.166725,0.938701,0.112423,0.952273,2.503696e-05,2.503696e-03
10,0.170477,0.936158,0.204875,0.928409,2.381678e-05,2.381678e-03
11,0.151813,0.946610,0.092590,0.971591,2.250000e-05,2.250000e-03
12,0.131237,0.951130,0.089706,0.975000,2.110105e-05,2.110105e-03
13,0.114207,0.957910,0.046376,0.987500,1.963525e-05,1.963525e-03
14,0.101589,0.961864,0.064823,0.975000,1.811868e-05,1.811868e-03
15,0.088831,0.967232,0.040895,0.984091,1.656793e-05,1.656793e-03
16,0.086538,0.971186,0.022972,0.989773,1.500000e-05,1.500000e-03
17,0.068105,0.974859,0.051255,0.980682,1.343207e-05,1.343207e-03
18,0.062863,0.976554,0.046206,0.979545,1.188132e-05,1.188132e-03
19,0.054870,0.979661,0.019207,0.992045,1.036475e-05,1.036475e-03
20,0.051521,0.979661,0.025571,0.989773,8.898950e-06,8.898950e-04
21,0.052636,0.981073,0.018638,0.993182,7.500000e-06,7.500000e-04
22,0.036731,0.986441,0.028586,0.989773,6.183221e-06,6.183221e-04
23,0.032631,0.988983,0.033825,0.990909,4.963041e-06,4.963041e-04
24,0.032937,0.987853,0.018354,0.992045,3.852828e-06,3.852828e-04
25,0.025779,0.990113,0.020977,0.989773,2.864745e-06,2.864745e-04
26,0.023005,0.992373,0.041762,0.989773,2.009619e-06,2.009619e-04
27,0.025555,0.990960,0.037680,0.988636,1.296818e-06,1.296818e-04
28,0.018347,0.992373,0.026236,0.989773,7.341523e-07,7.341523e-05
29,0.025237,0.991808,0.028419,0.990909,3.277860e-07,3.277860e-05
30,0.023764,0.992655,0.028776,0.990909,8.217157e-08,8.217157e-06
