epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
1,0.000208333,0.239289,20.370370,2.047146,3.720406,33,129,1579,8,1,,,
2,0.0003125,0.205460,38.888889,10.856079,16.973812,175,275,1437,8,1,,,
3,0.0003125,0.190527,71.428571,5.272953,9.820913,85,34,1527,8,1,,,
4,0.0003125,0.184202,55.748373,15.942928,24.794983,257,204,1355,8,1,,,
5,0.0003125,0.167755,68.918919,18.982630,29.766537,306,138,1306,8,1,,,
6,0.0003125,0.163223,55.428571,18.052109,27.234441,291,234,1321,8,1,,,
7,0.0003125,0.160436,40.789474,32.692308,36.294766,527,765,1085,8,1,,,
8,0.0003125,0.152622,44.372294,38.151365,41.027352,615,771,997,8,1,,,
9,0.0003125,0.151660,67.851100,24.875931,36.404902,401,190,1211,8,1,,,
10,0.0003125,0.146229,52.928177,29.714640,38.061184,479,426,1133,8,1,,,
11,0.0003125,0.143577,55.212766,32.196030,40.673981,519,421,1093,8,1,,,
12,0.0003125,0.145635,49.520154,32.009926,38.884702,516,526,1096,8,1,,,
13,0.0003125,0.141215,41.680767,45.843672,43.663220,739,1034,873,8,1,,,
14,0.0003125,0.137917,51.097804,31.761787,39.173680,512,490,1100,8,1,,,
15,0.0003125,0.136334,49.855908,42.928040,46.133333,692,696,920,8,1,,,
16,0.0003125,0.134880,52.936963,45.843672,49.135638,739,657,873,8,1,,,
17,0.0003125,0.130554,53.614458,38.647643,44.917087,623,539,989,8,1,,,
18,0.0003125,0.130625,59.702550,52.295285,55.753968,843,569,769,8,1,,,
19,0.0003125,0.129195,42.857143,50.248139,46.259280,810,1080,802,8,1,,,
20,0.0003125,0.124803,47.957839,45.161290,46.517572,728,790,884,8,1,,,
21,0.0003125,0.130277,45.041322,47.332506,46.158500,763,931,849,8,1,,,
22,0.0003125,0.125334,43.830005,53.101737,48.022440,856,1097,756,8,1,,,
23,0.0003125,0.125855,52.285714,56.761787,54.431886,915,835,697,8,1,,,
24,0.0003125,0.121438,47.727273,65.136476,55.089192,1050,1150,562,8,1,,,
25,0.0003125,0.120601,51.176133,55.334988,53.174367,892,851,720,8,1,,,
26,0.0003125,0.122676,46.425025,58.002481,51.571980,935,1079,677,8,1,,,
27,0.0003125,0.121510,52.529382,63.771712,57.607173,1028,929,584,8,1,,,
28,0.0003125,0.115851,49.949032,60.794045,54.840515,980,982,632,8,1,,,
29,0.0003125,0.115587,57.236450,59.615385,58.401702,961,718,651,8,1,,,
30,0.0003125,0.118674,59.393232,63.151365,61.214672,1018,696,594,8,1,,,
31,0.0003125,0.116538,50.148810,62.717122,55.733186,1011,1005,601,8,1,,,
32,0.0003125,0.115466,51.978239,65.198511,57.842598,1051,971,561,8,1,,,
33,3.125e-05,0.114692,55.379388,60.669975,57.904085,978,788,634,8,1,,,
34,3.125e-05,0.100956,55.458515,63.027295,59.001161,1016,816,596,8,1,,,
35,3.125e-05,0.097842,57.382199,67.990074,62.237365,1096,814,516,8,1,,,
36,3.125e-05,0.096200,57.649550,67.555831,62.210797,1089,800,523,8,1,,,
37,3.125e-05,0.094762,57.227430,71.960298,63.753779,1160,867,452,8,1,,,
38,3.125e-05,0.094493,56.609642,67.741935,61.677492,1092,837,520,8,1,,,
39,3.125e-05,0.093602,55.132275,64.640199,59.508852,1042,848,570,8,1,,,
40,3.125e-05,0.092463,57.789233,62.593052,60.095295,1009,737,603,8,1,,,
41,3.125e-05,0.091985,55.595855,66.563275,60.587239,1073,857,539,8,1,,,
42,3.125e-05,0.093747,58.140704,71.774194,64.242088,1157,833,455,8,1,,,
43,3.125e-05,0.090564,57.050324,71.029777,63.277148,1145,862,467,8,1,,,
44,3.125e-05,0.091302,58.350101,71.960298,64.444444,1160,828,452,8,1,,,
45,3.125e-05,0.091045,57.431102,72.394541,64.050494,1167,865,445,8,1,,,
46,3.125e-05,0.090039,54.616999,64.578164,59.181353,1041,865,571,8,1,,,
47,3.125e-05,0.090196,59.989113,68.362283,63.902580,1102,735,510,8,1,,,
48,3.125e-05,0.090601,59.662196,74.503722,66.262069,1201,812,411,8,1,,,
49,3.125e-05,0.089018,57.119741,65.694789,61.107905,1059,795,553,8,1,,,
50,3.125e-05,0.090884,59.732922,72.146402,65.355437,1163,784,449,8,1,,,
51,3.125e-05,0.088413,56.435644,67.183623,61.342396,1083,836,529,8,1,,,
52,3.125e-05,0.088771,58.101969,71.401985,64.069023,1151,830,461,8,1,,,
53,3.125e-05,0.089274,55.060729,67.493797,60.646600,1088,888,524,8,1,,,
54,3.125e-05,0.089386,57.842047,64.516129,60.997067,1040,758,572,8,1,,,
55,3.125e-05,0.088671,59.794372,68.548387,63.872832,1105,743,507,8,1,,,
56,3.125e-05,0.085999,59.142562,71.029777,64.543405,1145,791,467,8,1,,,
57,3.125e-05,0.088755,58.814016,67.679901,62.936256,1091,764,521,8,1,,,
58,3.125e-05,0.088279,56.710875,66.315136,61.138118,1069,816,543,8,1,,,
