epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
59,3.125e-05,0.088264,57.731407,66.935484,61.993680,1079,790,533,8,1,,,
60,3.125e-05,0.086493,58.027750,72.642680,64.517906,1171,847,441,8,1,,,
61,3.125e-05,0.086951,56.346899,72.146402,63.275299,1163,901,449,8,1,,,
62,3.125e-05,0.089696,57.393484,71.029777,63.487663,1145,850,467,8,1,,,
63,3.125e-06,0.087131,59.368421,69.975186,64.236902,1128,772,484,8,1,,,
64,3.125e-06,0.087178,59.330144,69.230769,63.899227,1116,765,496,8,1,,,
65,3.125e-06,0.086080,58.927642,70.223325,64.081517,1132,789,480,8,1,,,
66,3.125e-06,0.087088,57.557252,70.161290,63.237350,1131,834,481,8,1,,,
67,3.125e-06,0.086369,58.687852,71.029777,64.271681,1145,806,467,8,1,,,
68,3.125e-06,0.087071,58.152174,73.014888,64.741474,1177,847,435,8,1,,,
69,3.125e-06,0.084905,58.428642,72.890819,64.863373,1175,836,437,8,1,,,
70,3.125e-06,0.086636,59.140342,70.843672,64.465143,1142,789,470,8,1,,,
71,3.125e-06,0.084954,58.617077,69.416873,63.561488,1119,790,493,8,1,,,
72,3.125e-06,0.085366,58.868115,72.270471,64.884433,1165,814,447,8,1,,,
73,3.125e-06,0.085357,58.915537,70.099256,64.022663,1130,788,482,8,1,,,
74,3.125e-06,0.084298,58.772406,67.121588,62.670142,1082,759,530,8,1,,,
75,3.125e-06,0.083662,58.522727,70.285360,63.866967,1133,803,479,8,1,,,
76,3.125e-06,0.084051,59.538462,72.022333,65.188097,1161,789,451,8,1,,,
77,3.125e-06,0.087573,58.639798,72.208437,64.720601,1164,821,448,8,1,,,
78,3.125e-06,0.086796,59.571130,70.657568,64.642452,1139,773,473,8,1,,,
79,3.125e-06,0.084153,59.355509,70.843672,64.592760,1142,782,470,8,1,,,
80,3.125e-06,0.085824,59.764223,72.332506,65.450463,1166,785,446,8,1,,,
81,3.125e-06,0.085320,58.832725,70.037221,63.947890,1129,790,483,8,1,,,
82,3.125e-06,0.088111,58.775923,72.084367,64.753413,1162,815,450,8,1,,,
83,3.125e-06,0.085211,60.545267,73.014888,66.197975,1177,767,435,8,1,,,
84,3.125e-06,0.086175,59.323825,69.665012,64.079886,1123,770,489,8,1,,,
85,3.125e-06,0.085326,59.326563,68.858561,63.738157,1110,761,502,8,1,,,
86,3.125e-06,0.086994,59.448417,72.208437,65.210084,1164,794,448,8,1,,,
87,3.125e-06,0.085012,56.741281,67.617866,61.703934,1090,831,522,8,1,,,
88,3.125e-06,0.086690,58.512821,70.781638,64.065132,1141,809,471,8,1,,,
89,3.125e-06,0.082504,57.816640,67.679901,62.360674,1091,796,521,8,1,,,
90,3.125e-06,0.086413,60.401267,70.967742,65.259555,1144,750,468,8,1,,,
91,3.125e-06,0.082936,59.455212,70.409429,64.470321,1135,774,477,8,1,,,
92,3.125e-06,0.083525,59.534648,73.014888,65.589301,1177,800,435,8,1,,,
93,3.125e-07,0.083623,60.576428,73.014888,66.216596,1177,766,435,8,1,,,
94,3.125e-07,0.084939,57.803468,68.238213,62.588905,1100,803,512,8,1,,,
95,3.125e-07,0.084502,59.588299,68.238213,63.620590,1100,746,512,8,1,,,
96,3.125e-07,0.080544,59.682377,72.270471,65.375982,1165,787,447,8,1,,,
97,3.125e-07,0.086644,59.356247,67.493797,63.164006,1088,745,524,8,1,,,
98,3.125e-07,0.084860,58.960476,67.555831,62.966175,1089,758,523,8,1,,,
99,3.125e-07,0.084174,59.004024,72.766749,65.166667,1173,815,439,8,1,,,
100,3.125e-07,0.082999,58.591249,68.114144,62.994836,1098,776,514,8,1,,,
101,3.125e-07,0.084538,59.125964,71.339950,64.661231,1150,795,462,8,1,,,
102,3.125e-07,0.086124,58.081611,67.990074,62.646470,1096,791,516,8,1,,,
103,3.125e-07,0.083181,60.994362,73.821340,66.797642,1190,761,422,8,1,,,
104,3.125e-07,0.084699,58.685913,73.138958,65.120133,1179,830,433,8,1,,,
105,3.125e-07,0.083690,59.734287,72.518610,65.508546,1169,788,443,8,1,,,
106,3.125e-07,0.084984,59.784284,72.208437,65.411632,1164,783,448,8,1,,,
107,3.125e-07,0.086179,58.963731,70.595533,64.257482,1138,792,474,8,1,,,
108,3.125e-07,0.084039,58.965344,72.828784,65.167916,1174,817,438,8,1,,,
109,3.125e-07,0.083974,59.669686,69.478908,64.201777,1120,757,492,8,1,,,
110,3.125e-07,0.086071,58.622531,68.114144,63.012912,1098,775,514,8,1,,,
111,3.125e-07,0.085281,60.030318,73.697270,66.165414,1188,791,424,8,1,,,
112,3.125e-07,0.083771,60.797175,74.751861,67.056205,1205,777,407,8,1,,,
113,3.125e-07,0.085331,58.469657,68.734491,63.187910,1108,787,504,8,1,,,
114,3.125e-07,0.086879,59.685039,70.533499,64.657378,1137,768,475,8,1,,,
115,3.125e-07,0.083796,59.619342,71.898263,65.185602,1159,785,453,8,1,,,
116,3.125e-07,0.084792,59.084121,73.635236,65.561999,1187,822,425,8,1,,,
117,3.125e-07,0.085036,59.151906,68.362283,63.424460,1102,761,510,8,1,,,
118,3.125e-07,0.085406,60.062729,71.277916,65.191489,1149,764,463,8,1,,,
119,3.125e-07,0.082647,59.533469,72.828784,65.513393,1174,798,438,8,1,,,
120,3.125e-07,0.084732,60.322581,69.602978,64.631336,1122,738,490,8,1,,,
121,3.125e-07,0.085154,59.768908,70.595533,64.732651,1138,766,474,8,1,,,
122,3.125e-07,0.083264,59.414226,70.471464,64.472191,1136,776,476,8,1,,,
123,3.125e-08,0.084395,57.993730,68.858561,62.960862,1110,804,502,8,1,,,
124,3.125e-08,0.083680,60.125918,71.091811,65.150654,1146,760,466,8,1,,,
125,3.125e-08,0.086491,59.685039,70.533499,64.657378,1137,768,475,8,1,,,
126,3.125e-08,0.087113,57.287234,66.811414,61.683849,1077,803,535,8,1,,,
127,3.125e-08,0.083740,57.517389,66.687345,61.763861,1075,794,537,8,1,,,
128,3.125e-08,0.083515,60.051282,72.642680,65.749579,1171,779,441,8,1,,,
129,3.125e-08,0.084633,59.429154,72.332506,65.249021,1166,796,446,8,1,,,
130,3.125e-08,0.086246,59.467919,70.719603,64.607538,1140,777,472,8,1,,,
131,3.125e-08,0.084883,59.414437,73.014888,65.516282,1177,804,435,8,1,,,
132,3.125e-08,0.082280,59.621290,72.270471,65.339316,1165,789,447,8,1,,,
133,3.125e-08,0.084175,60.091047,73.697270,66.202285,1188,789,424,8,1,,,
134,3.125e-08,0.084685,59.044715,72.084367,64.916201,1162,806,450,8,1,,,
135,3.125e-08,0.084808,58.677249,68.796526,63.335237,1109,781,503,8,1,,,
136,3.125e-08,0.084933,59.580194,68.672457,63.804035,1107,751,505,8,1,,,
137,3.125e-08,0.085233,57.717042,66.811414,61.932145,1077,789,535,8,1,,,
138,3.125e-08,0.083422,58.368421,68.796526,63.154897,1109,791,503,8,1,,,
139,3.125e-08,0.086050,59.649123,71.712159,65.126761,1156,782,456,8,1,,,
140,3.125e-08,0.084146,58.170996,66.687345,62.138728,1075,773,537,8,1,,,
141,3.125e-08,0.084444,59.144771,71.215881,64.621447,1148,793,464,8,1,,,
